"Causal_relationship","Path_coefficient","SE","Lower_95_CI","Upper_95_CI","Tree","Region"
"Climate_affects_WP",0.14,0.22,-0.29,0.57,"NCuniform_crown","Tropical"
"WP_affects_Climate",-0.07,0.21,-0.48,0.34,"NCuniform_crown","Tropical"
"CS_affects_Climate",-0.06,0.09,-0.24,0.12,"NCuniform_crown","Tropical"
"Climate_affects_CS",-0.07,0.06,-0.19,0.05,"NCuniform_crown","Tropical"
"CS_affects_WP",1.1,0.28,0.55,1.65,"FBD_stem","Tropical"
"Climate_affects_WP",0.07,0.19,-0.31,0.45,"FBD_stem","Tropical"
"WP_affects_Climate",-0.03,0.21,-0.44,0.38,"FBD_stem","Tropical"
"CS_affects_Climate",-0.05,0.09,-0.23,0.13,"FBD_stem","Tropical"
"Climate_affects_CS",-0.08,0.06,-0.2,0.05,"FBD_stem","Tropical"
"CS_affects_WP",1.09,0.27,0.56,1.62,"FBD_crown","Tropical"
"Climate_affects_WP",0.08,0.22,-0.35,0.51,"FBD_crown","Tropical"
"WP_affects_Climate",-0.03,0.21,-0.43,0.38,"FBD_crown","Tropical"
"CS_affects_Climate",-0.05,0.09,-0.23,0.14,"FBD_crown","Tropical"
"Climate_affects_CS",-0.08,0.06,-0.2,0.04,"FBD_crown","Tropical"
"CS_affects_WP",0.7,0.18,0.35,1.05,"NCuniform_stem","Temperate"
"Climate_affects_WP",0,0,0,0,"NCuniform_stem","Temperate"
"WP_affects_Climate",0,0,0,0,"NCuniform_stem","Temperate"
"CS_affects_Climate",0,0,0,0,"NCuniform_stem","Temperate"
"Climate_affects_CS",-0.18,0.07,-0.31,-0.05,"NCuniform_stem","Temperate"
"CS_affects_WP",0.7,0.18,0.35,1.06,"NCuniform_crown","Temperate"
"Climate_affects_WP",0,0,0,0,"NCuniform_crown","Temperate"
"WP_affects_Climate",0,0,0,0,"NCuniform_crown","Temperate"
"CS_affects_Climate",-0.24,0.08,-0.39,-0.09,"NCuniform_crown","Temperate"
"Climate_affects_CS",-0.22,0.06,-0.34,-0.09,"NCuniform_crown","Temperate"
"CS_affects_WP",0.66,0.16,0.33,0.98,"FBD_stem","Temperate"
"Climate_affects_WP",0,0,0,0,"FBD_stem","Temperate"
"WP_affects_Climate",0,0,0,0,"FBD_stem","Temperate"
"CS_affects_Climate",0,0,0,0,"FBD_stem","Temperate"
"Climate_affects_CS",-0.19,0.06,-0.31,-0.06,"FBD_stem","Temperate"
"CS_affects_WP",0.7,0.17,0.36,1.04,"FBD_crown","Temperate"
"Climate_affects_WP",0,0,0,0,"FBD_crown","Temperate"
"WP_affects_Climate",0,0,0,0,"FBD_crown","Temperate"
"CS_affects_Climate",-0.19,0.08,-0.34,-0.04,"FBD_crown","Temperate"
"Climate_affects_CS",-0.18,0.06,-0.3,-0.06,"FBD_crown","Temperate"
"CS_affects_WP",1.02,0.22,0.58,1.46,"NCuniform_stem","Both"
"Climate_affects_WP",0.21,0.16,-0.1,0.52,"NCuniform_stem","Both"
"WP_affects_Climate",-0.02,0.17,-0.36,0.31,"NCuniform_stem","Both"
"CS_affects_Climate",-0.02,0.08,-0.19,0.14,"NCuniform_stem","Both"
"Climate_affects_CS",0,0,0,0,"NCuniform_stem","Both"
"CS_affects_WP",0.99,0.22,0.56,1.42,"NCuniform_crown","Both"
"Climate_affects_WP",0.13,0.16,-0.18,0.44,"NCuniform_crown","Both"
"WP_affects_Climate",-0.13,0.17,-0.47,0.2,"NCuniform_crown","Both"
"CS_affects_Climate",-0.04,0.08,-0.19,0.12,"NCuniform_crown","Both"
"Climate_affects_CS",-0.04,0.07,-0.18,0.11,"NCuniform_crown","Both"
"CS_affects_WP",1.02,0.22,0.58,1.46,"FBD_stem","Both"
"Climate_affects_WP",0.23,0.16,-0.08,0.54,"FBD_stem","Both"
"WP_affects_Climate",-0.03,0.17,-0.37,0.31,"FBD_stem","Both"
"CS_affects_Climate",-0.03,0.08,-0.18,0.13,"FBD_stem","Both"
"Climate_affects_CS",0,0,0,0,"FBD_stem","Both"
"CS_affects_WP",1,0.22,0.56,1.43,"FBD_crown","Both"
"Climate_affects_WP",0.21,0.16,-0.1,0.52,"FBD_crown","Both"
"WP_affects_Climate",-0.02,0.17,-0.36,0.32,"FBD_crown","Both"
"CS_affects_Climate",-0.04,0.08,-0.2,0.11,"FBD_crown","Both"
"Climate_affects_CS",0,0,0,0,"FBD_crown","Both"
