"Causal_relationship","Path_coefficient","SE","Lower_95_CI","Upper_95_CI","Model_number","Tree"
"WP_affects_Climate",0.4,0.12,0.17,0.6,"Two","FBD_crown"
"CS_affects_Climate",0,0,0,0,"Two","FBD_crown"
"Climate_affects_CS",0,0,0,0,"Two","FBD_crown"
"CS_affects_WP",0.87,0.13,0.68,1.15,"Three","FBD_crown"
"Climate_affects_WP",0,0,0,0,"Three","FBD_crown"
"WP_affects_Climate",0,0,0,0,"Three","FBD_crown"
"CS_affects_Climate",0,0,0,0,"Three","FBD_crown"
"Climate_affects_CS",0.08,0.04,-0.01,0.14,"Three","FBD_crown"
"CS_affects_WP",0.87,0.13,0.63,1.15,"Four","FBD_crown"
"Climate_affects_WP",0,0,0,0,"Four","FBD_crown"
"WP_affects_Climate",0,0,0,0,"Four","FBD_crown"
"CS_affects_Climate",0.13,0.05,0.02,0.24,"Four","FBD_crown"
"Climate_affects_CS",0,0,0,0,"Four","FBD_crown"
