"Causal_relationship","Path_coefficient","SE","Lower_95_CI","Upper_95_CI","Model_number","Tree"
"CS_affects_Climate",0,0,0,0,"Three","NCuniform_crown"
"Climate_affects_CS",-0.07,0.04,-0.16,0.01,"Three","NCuniform_crown"
"CS_affects_WP",0.84,0.12,0.64,1.12,"Four","NCuniform_crown"
"Climate_affects_WP",0,0,0,0,"Four","NCuniform_crown"
"WP_affects_Climate",0,0,0,0,"Four","NCuniform_crown"
"CS_affects_Climate",-0.08,0.05,-0.16,0.03,"Four","NCuniform_crown"
"Climate_affects_CS",0,0,0,0,"Four","NCuniform_crown"
"CS_affects_WP",0.94,0.13,0.71,1.22,"One","FBD_stem"
"Climate_affects_WP",0.19,0.09,0.05,0.34,"One","FBD_stem"
"WP_affects_Climate",0,0,0,0,"One","FBD_stem"
"CS_affects_Climate",0,0,0,0,"One","FBD_stem"
"Climate_affects_CS",0,0,0,0,"One","FBD_stem"
"CS_affects_WP",1.01,0.15,0.79,1.34,"Two","FBD_stem"
"Climate_affects_WP",0,0,0,0,"Two","FBD_stem"
"WP_affects_Climate",0.13,0.1,-0.06,0.31,"Two","FBD_stem"
"CS_affects_Climate",0,0,0,0,"Two","FBD_stem"
"Climate_affects_CS",0,0,0,0,"Two","FBD_stem"
"CS_affects_WP",1.01,0.15,0.76,1.3,"Three","FBD_stem"
"Climate_affects_WP",0,0,0,0,"Three","FBD_stem"
"WP_affects_Climate",0,0,0,0,"Three","FBD_stem"
"CS_affects_Climate",0,0,0,0,"Three","FBD_stem"
"Climate_affects_CS",-0.05,0.05,-0.14,0.04,"Three","FBD_stem"
"CS_affects_WP",1.01,0.15,0.8,1.35,"Four","FBD_stem"
"Climate_affects_WP",0,0,0,0,"Four","FBD_stem"
"WP_affects_Climate",0,0,0,0,"Four","FBD_stem"
"CS_affects_Climate",-0.05,0.05,-0.14,0.04,"Four","FBD_stem"
"Climate_affects_CS",0,0,0,0,"Four","FBD_stem"
"CS_affects_WP",0.89,0.13,0.66,1.19,"One","FBD_crown"
"Climate_affects_WP",0.07,0.1,-0.08,0.23,"One","FBD_crown"
"WP_affects_Climate",0,0,0,0,"One","FBD_crown"
"CS_affects_Climate",0,0,0,0,"One","FBD_crown"
"Climate_affects_CS",0,0,0,0,"One","FBD_crown"
"CS_affects_WP",0.87,0.13,0.65,1.14,"Two","FBD_crown"
"Climate_affects_WP",0,0,0,0,"Two","FBD_crown"
"WP_affects_Climate",0.13,0.1,-0.05,0.34,"Two","FBD_crown"
"CS_affects_Climate",0,0,0,0,"Two","FBD_crown"
"Climate_affects_CS",0,0,0,0,"Two","FBD_crown"
"CS_affects_WP",0.87,0.13,0.67,1.15,"Three","FBD_crown"
"Climate_affects_WP",0,0,0,0,"Three","FBD_crown"
"WP_affects_Climate",0,0,0,0,"Three","FBD_crown"
"CS_affects_Climate",0,0,0,0,"Three","FBD_crown"
"Climate_affects_CS",-0.07,0.05,-0.15,0.02,"Three","FBD_crown"
"CS_affects_WP",0.87,0.13,0.65,1.14,"Four","FBD_crown"
"Climate_affects_WP",0,0,0,0,"Four","FBD_crown"
"WP_affects_Climate",0,0,0,0,"Four","FBD_crown"
"CS_affects_Climate",-0.07,0.05,-0.17,0.01,"Four","FBD_crown"
"Climate_affects_CS",0,0,0,0,"Four","FBD_crown"
